OBJECTID,ID,name,TERMINAL_NUMBER,lat,long,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
158013881,334,10th & G St NW,31274,38.898243,-77.026235,YES,NO,,,NO,15,8,397724.21868838,136710.58744,
158013882,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,3,10,392986.43793208,136643.32022975,
158013883,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,8,11,395568.88566438,137101.36038208,
158013884,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,3,12,394010.54617838,125930.1835293,
158013885,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,3,8,395875.6679074,128220.0552696,
158013886,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,9,10,394478.86466732,126103.67942378,
158013887,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,5,6,394996.30487652,128033.40446264,
158013888,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,11,4,394916.65642773,128686.84003154,
158013889,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,13,2,395389.14299363,128129.51994126,
158013890,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,7,8,394806.02748043,129478.05665833,
158013891,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,7,12,392643.06650429,135866.57615407,
158013421,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,4,11,399996.96765659,146534.54829125,
158013422,346,6th & S Ball St,31090,38.864702,-77.048672,YES,NO,,,NO,7,8,395775.91368285,132988.07874506,
158013423,347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,YES,NO,,,NO,3,16,393418.1513114,144120.27361911,
158013424,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,,,NO,17,5,396977.47844927,137312.16782257,
158013425,349,17th & G St NW,31277,38.89841,-77.039624,YES,NO,,,NO,30,0,396562.78460078,136729.54472867,
158013426,350,Spring St & Second Ave,32050,38.997653,-77.034499,YES,NO,,,NO,5,10,397011.52018405,147746.23200566,
158013427,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,,,NO,1,16,396371.80070351,138310.16380231,
158013428,352,S Joyce & 16th St S,31091,38.859254,-77.063275,YES,NO,,,NO,0,15,394508.14728183,132384.08827775,
158013429,353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,YES,NO,,,NO,1,22,400261.5033925,137794.25863345,
158013430,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,,,NO,8,7,390929.4393853,136517.08391716,
158013431,355,21st St N & N Pierce St,31093,38.898984,-77.078317,YES,NO,,,NO,0,14,393206.38482175,136795.43149257,
158013432,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,,,NO,7,7,391574.02398088,136396.59421225,
158013433,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,,,NO,23,0,396254.14318763,136729.90672594,
158013434,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,YES,NO,,,NO,0,19,399691.25569893,138542.7889275,
158013435,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,,,NO,1,14,388969.49519692,134307.40677263,
158013436,364,Army Navy Dr & S Nash St,31095,38.862467,-77.068242,YES,NO,,,NO,3,8,394077.31113834,132741.06505583,
158013437,365,31st & Water St NW,31293,38.902814,-77.061043,YES,NO,,,NO,19,0,394705.10354113,137219.4484204,
158013438,367,11th & S St NW,31280,38.913761,-77.027025,YES,NO,,,NO,2,21,397656.19931508,138433.23161638,
158013439,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,YES,NO,,,NO,9,6,392374.19768093,133148.03121274,
158013440,369,2nd & G St NE,31639,38.89967,-77.003666,YES,NO,,,NO,0,22,399681.99552091,136868.67522408,
158013441,370,8th & O St NW,31281,38.90864,-77.02277,YES,NO,,,NO,0,18,398025.08145063,137864.65778749,
158013442,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,YES,NO,,,NO,5,13,397585.82737487,143714.82919728,
158013443,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,YES,NO,,,NO,2,17,402183.685683,136292.1725555,
158013444,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,YES,NO,,,NO,0,19,400615.91481674,136476.16859309,
158013445,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,YES,NO,,,NO,6,17,401415.09002301,138637.59947305,
158013446,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,YES,NO,,,NO,0,19,393013.83863539,142034.97914405,
158013447,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,YES,NO,,,NO,4,11,393330.74818065,147355.50381716,
158013448,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,YES,NO,,,NO,5,10,383153.18792963,159713.13218025,
158013449,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,YES,NO,,,NO,4,14,389763.20231192,136723.31546751,
158013450,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,YES,NO,,,NO,2,7,396170.17569938,127217.29681658,
