gis_id,population_edu_advanced_perc,population_edu_bachelor_perc,population_edu_highschool_perc,population_edu_nodiploma_perc,population_edu_somecollege_perc,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330015002,0.316,0.4,0.099,0.007,0.178,42,23,94,48,427,0.84479,0.889573333,0.96052,19,0.841,0.633,0.08197,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330016001,0.393,0.337,0.035,0.007,0.228,44,32,65,42,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330016002,0.226,0.361,0.097,0.07,0.246,40,23,72,38,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330016003,0.21,0.322,0.138,0.018,0.312,29,16,67,32,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017011,0.235,0.452,0.055,0.069,0.19,10,10,57,41,347,0.66498,0.769086667,0.96017,19,0.897,0.674,0.19308,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017012,0.199,0.364,0.114,0.058,0.265,13,8,46,32,347,0.66498,0.769086667,0.96017,19,0.897,0.674,0.19308,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017013,0.232,0.266,0.171,0.062,0.268,21,10,38,26,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017021,0.156,0.461,0.069,0.028,0.285,19,9,46,29,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017022,0.165,0.404,0.14,0.023,0.269,19,14,61,32,469,0.77679,0.81413,0.96364,19,0.771,0.604,0.10661,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017023,0.08,0.292,0.101,0.083,0.444,24,19,56,27,469,0.77679,0.81413,0.96364,19,0.771,0.604,0.10661,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330017024,0.088,0.27,0.148,0.02,0.474,21,14,51,29,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
