block_group,median_household_income,per_capita_income,population_poverty,population_unemployed,population_industry_administration,population_industry_agriculture,population_industry_art,population_industry_construction,population_industry_education,population_industry_finance,population_industry_informatin,population_industry_management,population_industry_manufacture,population_industry_other,population_industry_retail,population_industry_total,population_industry_transportation,population_industry_wholesale
530330066001,69926,66013,101,51,0,0,142,52,192,68,31,404,116,13,203,1245,17,7
530330066002,87426,60465,139,80,57,0,104,0,459,69,0,459,90,138,269,1648,3,0
530330067001,102019,65712,64,16,27,0,233,19,311,98,178,361,129,0,508,1919,13,42
530330067002,80682,58714,113,77,37,26,172,78,64,73,27,348,71,61,375,1433,51,50
530330067003,83163,57956,69,12,0,0,296,0,118,47,0,282,59,0,179,993,0,12
530330067004,81850,54998,207,56,0,0,279,16,187,90,50,339,0,39,129,1233,71,33
530330068001,108510,72953,50,8,17,0,36,0,129,51,71,196,71,42,64,702,9,16
530330068002,91925,60072,136,67,66,0,78,17,191,58,96,287,67,67,214,1195,27,27
530330069001,92727,66819,29,20,0,0,17,0,114,128,30,211,20,16,71,644,0,37
530330069002,130000,55541,20,33,36,0,39,0,118,18,18,238,96,29,118,753,13,30
530330069003,84375,62929,76,20,0,0,31,0,169,0,14,145,61,30,41,523,16,16
530330069004,95833,67962,17,0,0,0,136,61,172,95,16,101,73,17,107,827,31,18
530330070001,95465,67798,0,0,42,0,89,0,105,123,0,147,40,89,143,806,0,28
530330070002,40978,49678,83,0,54,28,71,0,140,0,83,265,104,25,86,880,0,24
530330070003,75086,66588,0,0,31,0,203,24,164,138,125,296,0,123,298,1432,30,0
530330070004,69412,79536,63,48,23,0,109,0,68,22,72,184,0,69,69,616,0,0
530330070005,49074,43761,81,61,0,0,225,0,98,30,83,128,48,21,52,685,0,0
530330070006,76250,115053,67,24,0,0,143,0,112,176,63,266,34,22,187,1003,0,0
530330071001,56518,58145,258,34,90,0,259,0,118,91,26,250,63,93,169,1197,19,19
530330071002,86301,63454,243,82,63,0,144,26,164,109,173,508,92,66,306,1764,41,72
530330072001,83750,63985,376,88,38,0,358,26,437,227,316,600,137,45,736,3060,140,0
530330072002,70466,59759,282,16,26,0,195,25,105,84,32,161,126,35,271,1080,20,0
530330072003,62255,66537,317,52,17,0,83,0,113,232,80,200,32,0,326,1126,43,0
530330073001,84196,54519,490,91,15,0,35,23,369,76,325,482,113,49,284,1803,17,15
530330073002,35016,57892,489,187,49,0,61,0,25,0,8,189,20,17,111,496,0,16
530330073003,105909,97067,114,64,52,0,63,15,89,73,44,511,42,15,210,1144,0,30
530330074011,75203,59843,45,44,28,0,127,11,175,46,74,383,32,42,154,1095,0,23
530330074012,61742,66028,123,132,0,20,60,0,69,79,178,274,53,0,210,976,17,16
530330074013,62475,55591,93,0,37,0,139,0,315,108,28,283,118,23,164,1268,32,21
530330074014,67917,54568,240,116,46,0,149,0,96,44,38,200,25,16,93,718,0,11
530330074021,69632,46041,327,26,12,0,247,0,440,163,39,412,147,14,159,1665,32,0
530330074022,34154,38994,169,47,13,0,344,45,162,62,57,180,68,19,79,1084,13,42
530330074023,42754,45342,331,0,26,18,180,0,210,173,56,231,167,34,322,1446,29,0
530330075001,41806,44028,382,113,72,0,127,0,251,107,0,238,32,138,110,1181,79,27
530330075002,71161,53719,85,0,60,0,69,21,262,89,22,190,76,84,88,1041,28,52
530330075003,52315,44864,143,45,65,0,61,114,362,0,50,328,0,21,120,1121,0,0
530330075004,71920,48929,270,0,84,0,257,17,186,242,93,326,105,33,186,1564,0,35
530330075005,76010,51405,183,71,0,0,51,0,68,82,78,245,24,0,280,920,66,26
530330076001,79722,54066,135,31,17,0,37,0,147,59,32,220,114,22,31,715,27,9
530330076002,66196,41701,162,77,67,41,84,9,332,38,28,148,28,22,130,927,0,0
530330076003,63359,53719,57,41,68,0,45,23,213,28,30,249,27,30,82,813,0,18
530330077001,105662,47344,139,78,20,0,101,0,176,14,25,174,68,37,175,832,41,1
530330077002,140250,89854,14,34,22,0,11,0,105,15,22,181,12,28,55,464,13,0
530330077003,100000,42863,277,155,53,8,64,24,140,14,0,127,38,51,31,588,0,38
530330077004,91809,63183,150,26,42,19,132,14,322,85,50,475,30,113,75,1371,0,14
530330078001,213611,136539,49,42,0,0,17,0,204,75,12,147,34,52,32,573,0,0
530330078002,163984,70950,92,0,43,0,165,0,354,75,17,376,23,29,11,1148,33,22
530330078003,123088,45244,185,18,79,0,30,0,146,41,61,176,42,20,86,717,36,0
530330078004,150294,81502,30,0,47,0,26,24,183,16,16,168,60,0,57,655,17,41
530330079001,69653,31155,146,18,0,0,16,0,118,123,31,130,14,29,86,578,31,0
530330079002,52778,35311,291,52,17,0,92,0,180,0,16,201,33,33,27,646,47,0
530330079003,78088,50813,166,34,70,0,49,21,172,45,16,130,81,53,100,755,18,0
530330079004,32390,62687,249,14,46,0,65,0,244,61,16,217,54,57,118,878,0,0
