block_group,occupied_housing_units,perc_owner,perc_family,avg_occupancy
5.30E+11,606,0.683168317,0.518151815,2.54950495
5.30E+11,581,0.592082616,0.588640275,2.228915663
5.30E+11,590,0.557627119,0.450847458,2.174576271
5.30E+11,461,0.811279826,0.702819957,2.110629067
5.30E+11,481,0.871101871,0.503118503,1.966735967
5.30E+11,558,0.709677419,0.562724014,2.279569892
5.30E+11,620,0.762903226,0.758064516,2.819354839
5.30E+11,490,0.840816327,0.575510204,2.353061224
5.30E+11,450,0.437777778,0.433333333,1.98
5.30E+11,840,0.229761905,0.285714286,1.677380952
5.30E+11,586,0.45221843,0.252559727,1.918088737
5.30E+11,637,0.271585557,0.339089482,1.640502355
5.30E+11,261,0.739463602,0.651340996,2.360153257
5.30E+11,740,0.801351351,0.633783784,2.402702703
5.30E+11,457,0.916849015,0.754923414,2.597374179
5.30E+11,632,0.534810127,0.607594937,2.454113924
5.30E+11,437,0.494279176,0.43020595,1.995423341
5.30E+11,1005,0.35721393,0.486567164,2.055721393
5.30E+11,640,0.4328125,0.4640625,1.696875
5.30E+11,452,0.517699115,0.488938053,1.900442478
5.30E+11,497,0.559356137,0.569416499,2.360160966
5.30E+11,573,0.780104712,0.666666667,2.272251309
5.30E+11,436,0.573394495,0.701834862,2.399082569
5.30E+11,645,0.541085271,0.500775194,2.057364341
5.30E+11,665,0.559398496,0.49924812,2.090225564
5.30E+11,531,0.561205273,0.455743879,2.111111111
5.30E+11,756,0.226190476,0.111111111,1.83994709
5.30E+11,772,0.204663212,0.237046632,1.761658031
5.30E+11,557,0.653500898,0.366247756,2.136445242
5.30E+11,1125,0.153777778,0.232888889,1.72
5.30E+11,485,0.637113402,0.529896907,2.362886598
5.30E+11,371,0.808625337,0.611859838,2.544474394
5.30E+11,759,0.641633729,0.666666667,2.687747036
5.30E+11,402,0.922885572,0.728855721,2.437810945
5.30E+11,945,0.507936508,0.430687831,1.823280423
5.30E+11,377,0.957559682,0.909814324,3.076923077
5.30E+11,577,0.36915078,0.52339688,2.166377816
5.30E+11,570,0.856140351,0.924561404,3.292982456
5.30E+11,477,0.976939203,0.890985325,3.077568134
5.30E+11,588,0.528911565,0.579931973,2.19047619
5.30E+11,401,0.506234414,0.805486284,2.528678304
5.30E+11,287,0.836236934,0.843205575,2.87804878
5.30E+11,761,0.759526938,0.608409987,2.14586071
5.30E+11,616,0.660714286,0.657467532,2.680194805
5.30E+11,711,0.655414909,0.52883263,2.019690577
5.30E+11,592,0.805743243,0.680743243,2.844594595
5.30E+11,545,0.908256881,0.717431193,2.757798165
5.30E+11,410,0.234146341,0.351219512,2.485365854
5.30E+11,489,0.721881391,0.554192229,2.253578732
5.30E+11,512,0.623046875,0.548828125,2.486328125
5.30E+11,566,0.19434629,0.189045936,1.915194346
