block_group,median_earning_female,median_earning_male,population_born_total,population_foreign_born,population_foreign_born_perc,,median_earning_lessthanhighschool,median_earning_highschool,median_earning_somecollege,median_earning_bachelor,median_earning_advance
530330093003,36875,22304,1211,298,0.246077622,,24688,20641,24250,47917,60556
530330094001,,,1122,575,0.512477718,,,,,,
530330094002,45338,40758,1659,483,0.291139241,,,,,,
530330094003,30144,32837,986,380,0.385395538,,,,,,
530330094004,24236,26411,786,339,0.43129771,,,,,,
530330094005,27792,56250,1271,229,0.180173092,,,,,,
530330095001,78625,68098,1655,114,0.068882175,,,,,,
530330095002,,,2634,830,0.315110099,,,,,,
530330095003,80795,98125,1165,52,0.044635193,,,,,,
530330095004,30947,105556,847,188,0.221959858,,,,,,
530330096001,39420,84444,544,70,0.128676471,,,,,,
530330096002,32148,36250,1349,229,0.169755374,,,,,,
530330096003,60473,77154,1181,201,0.17019475,,,,,,
530330096004,70182,44485,1024,65,0.063476563,,,,,,
530330096005,36168,96667,1244,158,0.127009646,,,,,,
530330097011,51563,44063,1838,322,0.175190424,,,,,,
530330097012,50865,36429,967,148,0.153050672,,,,,,
530330097013,65078,90294,1211,150,0.123864575,,,,,,
530330097014,49896,94063,1735,93,0.053602305,,,,,,
530330097021,,,1780,140,0.078651685,,,,,,
530330097022,48854,76375,944,58,0.061440678,,,,,,
530330097023,51932,51207,613,28,0.045676998,,,,,,
530330097024,,,1015,97,0.095566502,,,,,,
530330097025,28571,85521,1274,51,0.040031397,,,,,,
530330098001,54375,68839,1116,97,0.086917563,,,,,,
530330098002,,,1471,156,0.106050306,,,,,,
530330098003,30341,100313,1544,134,0.086787565,,,,,,
530330098004,44917,88375,1439,91,0.06323836,,,,,,
530330098005,36218,50147,1332,212,0.159159159,,,,,,
530330099001,66310,34825,1087,65,0.059797608,,,,,,
530330099002,28786,90755,1331,218,0.163786627,,,,,,
530330099003,41439,45734,1644,409,0.248783455,,,,,,
530330099004,33095,50290,992,84,0.084677419,,,,,,
530330100011,31090,33750,978,296,0.302658487,,23935,25833,30776,45109,62431
530330100012,27794,57649,1473,670,0.454854039,,23935,25833,30776,45109,62431
530330100013,22232,41328,1756,607,0.345671982,,23935,25833,30776,45109,62431
530330100021,,,1119,510,0.455764075,,16731,24550,31058,47500,72273
530330100022,18480,29352,1697,678,0.39952858,,16731,24550,31058,47500,72273
530330100023,50615,59844,989,199,0.201213347,,16731,24550,31058,47500,72273
530330100024,41447,35313,958,334,0.348643006,,16731,24550,31058,47500,72273
530330101001,,,1115,53,0.047533632,,27105,23036,26731,52173,80233
530330101002,,,958,144,0.150313152,,27105,23036,26731,52173,80233
530330101003,41052,30547,1349,399,0.295774648,,27105,23036,26731,52173,80233
530330101004,26875,55536,1504,328,0.218085106,,27105,23036,26731,52173,80233
530330101005,51500,41364,1830,222,0.121311475,,27105,23036,26731,52173,80233
530330102001,58750,61105,1463,142,0.097060834,,20329,26071,41193,61816,71648
530330102002,47448,77721,988,68,0.068825911,,20329,26071,41193,61816,71648
530330102003,30625,35125,1057,403,0.381267739,,20329,26071,41193,61816,71648
530330102004,50417,58929,1061,105,0.098963242,,20329,26071,41193,61816,71648
530330103001,30845,53977,1047,103,0.098376313,,,,,,
530330103002,11250,22757,1592,461,0.289572864,,,,,,
530330103003,25440,27275,1109,637,0.574391344,,,,,,
530330103004,32188,35263,1122,471,0.419786096,,,,,,
530330103005,37411,31147,1501,348,0.231845436,,,,,,
530330104011,,,1488,679,0.456317204,,,,,,
530330104012,22174,23494,1927,926,0.480539699,,,,,,
530330104013,32138,25833,1296,778,0.600308642,,,,,,
530330104021,30833,31898,1141,387,0.339176161,,22232,27188,40605,57100,53233
530330104022,36481,38438,1185,487,0.410970464,,22232,27188,40605,57100,53233
530330104023,27149,40263,1299,846,0.651270208,,22232,27188,40605,57100,53233
530330104024,35954,32772,1593,851,0.534212178,,22232,27188,40605,57100,53233
