block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.20475698,0.021716649,169063,65285,0.024301965,2.979,0.248286667,909800
5.30E+11,0.064450475,0,238021,101789,0.010854817,3.381,0.17002,949700
5.30E+11,0.297134238,0.012820513,95972,56859,0.035444947,3.02,0.17002,723400
5.30E+11,0.09223301,0.118446602,79574.57296,53380,0,3.13,0.17002,930600
5.30E+11,0,0,195089,103702,0.019512195,3.433,0.17002,1558800
5.30E+11,0.227079539,0.027929569,111164,67213,0.040680024,3.277,0.248286667,761800
5.30E+11,0.345327916,0.037724898,110000,47713,0.043528729,2.87,0.248286667,595900
5.30E+11,0.274141283,0.012313675,82417,59102,0.009073234,3.237,0.115053333,455600
5.30E+11,0.032426173,0,127813,50476,0.011001737,3.034,0.115053333,604600
5.30E+11,0.127604167,0.0234375,145982,60647,0.001302083,3.312,0.115053333,663700
5.30E+11,0.620276498,0.058064516,30357,26469,0.035023041,2.882,0.17002,484400
5.30E+11,0.137809187,0.042402827,70469,47621,0.020318021,3.232,0.115053333,578600
5.30E+11,0.209616829,0.032306536,98214,64650,0.034560481,3.1,0.115053333,601900
5.30E+11,0.327877508,0.071805702,11638,11528,0.066525871,2.842,0.17002,421700
5.30E+11,0.496406855,0.109452736,20147,14063,0.056384743,2.938,0.17002,471679.3478
5.30E+11,0.211678832,0.047445255,93750,55617,0.024635036,3.366,0.115053333,782700
5.30E+11,0.17348378,0.04090268,68816,49711,0.033850494,3.192,0.146243333,500000
5.30E+11,0.213090909,0.070181818,59904,18201,0.083272727,2.682,0.17002,697000
5.30E+11,0.492926284,0.074460164,34152,20330,0.044676098,3.025,0.126383333,411700
5.30E+11,0.346566524,0.067596567,58661,30748,0.018240343,2.82,0.126383333,469100
5.30E+11,0.180660377,0.074056604,106719,46651,0.043396226,2.939,0.126383333,532900
5.30E+11,0.151152074,0.074654378,104286,58195,0.028571429,3.195,0.126383333,702300
5.30E+11,0.150561798,0.051685393,130694,58371,0.061423221,3.037,0.126383333,637000
5.30E+11,0.206896552,0.05651341,98571,55765,0.006704981,3.006,0.126383333,595500
5.30E+11,0.380821918,0.019863014,81207,37710,0.011643836,2.875,0.109546667,488300
5.30E+11,0.173521851,0.109897172,61429,45998,0.010282776,2.568,0.1949,536500
5.30E+11,0.161190568,0.040201005,81356,57641,0.060301508,2.84,0.21384,394500
5.30E+11,0.211318052,0.06482808,58269,60660,0.049068768,2.631,0.21384,357100
