"","block_group","portion","CRA_NO"
"312","530330084001",0.0629861292634597,"6.2"
"313","530330084002",0.0798623888022261,"6.2"
"314","530330084003",0.109257219950251,"6.2"
"315","530330085001",0.132601948528402,"6.1"
"316","530330085002",0.108043794150229,"6.1"
"317","530330085003",0.0196676070559277,"6.1"
"318","530330086001",0.0816179403774898,"6.1"
"319","530330086002",0.103024286631693,"6.1"
"320","530330086003",0.0999467679514294,"6.1"
"321","530330087001",0.0803873830005951,"5.3"
"322","530330087002",0.0673833528987668,"5.3"
"323","530330087003",0.0602794019394315,"5.3"
"324","530330088001",0.090214892629179,"5.3"
"325","530330088002",0.112724577833308,"5.3"
"326","530330088003",0.0843739501666522,"5.3"
"327","530330089001",0.106253937805443,"5.1"
"328","530330089002",0.189719671355115,"5.1"
"329","530330089003",0.0859795573316362,"5.1"
"330","530330089004",0.0557355248989242,"5.1"
"331","530330090001",0.454992920517096,"5.2"
"332","530330090002",0.545007079482904,"5.2"
"333","530330091001",0.198970160186345,"13.3"
"334","530330091002",0.110780197879998,"13.3"
"335","530330092001",0.307605853443796,"13.3"
"336","530330092002",0.382643788489861,"13.3"
"337","530330093001",0.168013021067172,"3.3"
"338","530330093002",0.233824700987908,"3.3"
"339","530330093003",0.59816227794492,"3.3"
"340","530330094001",0.012886932342248,"3.6"
"341","530330094002",0.179615035152513,"3.6"
"342","530330094003",0.111184038256531,"3.6"
"343","530330094004",0.0211644347883837,"3.6"
"344","530330094005",0.0556244110861566,"3.6"
"345","530330095001",0.314511841414118,"4.4"
"346","530330095002",0.224889350720533,"4.4"
"347","530330095003",0.316449402790783,"4.4"
"348","530330095004",0.144149405074566,"4.4"
"349","530330096001",0.0658966688595675,"1.4"
"350","530330096002",0.0585015764060425,"1.4"
"351","530330096003",0.0965954697979635,"1.4"
"352","530330096004",0.0596818121635656,"1.4"
"353","530330096005",0.0990624831912085,"1.4"
"354","530330097011",0.146633690403783,"1.4"
"355","530330097012",0.0459169635357836,"1.4"
"356","530330097013",0.167229631882295,"1.4"
"357","530330097014",0.26048170375979,"1.4"
"358","530330097021",0.0448811457560034,"1.3"
"359","530330097022",0.0648518939682069,"1.3"
"360","530330097023",0.042417338985983,"1.3"
"361","530330097024",0.042512341500661,"1.3"
"362","530330097025",0.0709978505681054,"1.3"
"363","530330098001",0.0782963545673582,"1.3"
"364","530330098002",0.143934265962749,"1.3"
"365","530330098003",0.17738542167155,"1.3"
"366","530330098004",0.0712981034481099,"1.3"
"367","530330098005",0.0405745790602261,"1.3"
"368","530330099001",0.124902858755296,"2.1"
"369","530330099002",0.231183578839796,"2.1"
"370","530330099003",0.0515994463235042,"2.1"
"371","530330099004",0.592314116081404,"2.1"
"372","530330100011",0.107762796044851,"3.6"
"373","530330100012",0.0952452044068263,"3.6"
