name,long,lat
Powell Barnett Park,-122.295998,47.605197
Pratt Park,-122.307257,47.601407
Prefontaine Place,-122.330883,47.601844
Prentis I. Frazier Park,-122.301614,47.622895
Pritchard Island Beach,-122.26283,47.528948
Puget Boulevard Commons,-122.365575,47.555356
Puget Creek Greenspace,-122.358556,47.55187
Puget Park,-122.356922,47.558473
Puget Ridge Playground,-122.359947,47.547368
Queen Anne Bowl Playfield,-122.359711,47.645599
Rainbow Point,-122.320476,47.682713
Rainier Beach Playfield,-122.273136,47.525041
Rainier Place,-122.359434,47.667567
Rainier Playfield,-122.2862,47.561817
Ravenna Park,-122.305705,47.671404
Ravenna Park Triangle,-122.30367,47.668089
Ravenna Ravine,-122.301707,47.674823
Ravenna Woods,-122.303161,47.662559
Ravenna-Eckstein Park,-122.304964,47.676873
Regrade Park,-122.344776,47.614346
Riverview Playfield,-122.348688,47.54101
Roanoke Park,-122.320185,47.643723
Roanoke St. Mini Park,-122.329327,47.643193
Rogers Playground,-122.325257,47.642601
Ross Playground,-122.361347,47.659718
Rotary Viewpoint,-122.375859,47.560222
Roxhill Park,-122.368881,47.519496
Sacajawea Playground,-122.308132,47.697132
Salmon Bay Park,-122.381343,47.679297
Sam Smith Park,-122.297814,47.589982
Sandel Playground,-122.358701,47.695134
Schmitz Boulevard,-122.405592,47.577899
Schmitz Preserve Park,-122.400425,47.574375
Seacrest Park,-122.381226,47.589941
Seattle Aquarium,-122.342836,47.607411
Seola Park,-122.374332,47.50039
Seven Hills Park,-122.312534,47.617684
Seward Park,-122.250639,47.54923
Sierra Place,-122.282492,47.573282
Smith Cove,-122.387679,47.632602
Solstice Park,-122.390347,47.536414
Soundview Playfield,-122.378878,47.695416
Soundview Terrace,-122.37141,47.640849
South Park Meadow,-122.323649,47.520795
South Park Playground,-122.324159,47.528016
South Passage Point Park,-122.322486,47.652087
Spring Street Mini Park,-122.3124,47.611801
Spruce Street Mini Park,-122.304648,47.603091
St. Mark's Greenbelt,-122.322174,47.63115
Stan Sayres Memorial Park,-122.277162,47.571222
Stevens Place,-122.310563,47.577122
Stevens Triangle,-122.283592,47.619443
Sturgus Park,-122.314376,47.59409
Sturtevant Ravine,-122.268561,47.51783
Summit Place,-122.325708,47.627081
Summit Slope Park,-122.325298,47.619832
Sunnyside Ave N Boat Ramp,-122.330723,47.650292
Sunset Hill Park,-122.400938,47.684034
Sunset Place,-122.357602,47.666686
SW Queen Anne Greenbelt,-122.373209,47.633353
T.T. Minor Playground,-122.310543,47.613111
Tashkent Park,-122.323444,47.62379
Terry Pettus Park,-122.329689,47.636742
Thayer Place,-122.250038,47.510613
Thomas C. Wales Park,-122.344468,47.640523
Thomas St. Mini Park,-122.326216,47.621036
Thorndyke Park,-122.390161,47.635099
Thornton Creek Park #1,-122.307629,47.707034
Thyme Patch Park,-122.395214,47.670709
Tilikum Place,-122.347411,47.618382
Trolley Hill Park,-122.347039,47.635143
Union Station Square,-122.330086,47.599362
University Circle,-122.275181,47.67203
University Lake Shore Place,-122.28006,47.718937
University Playground,-122.319312,47.664447
Ursula Judkins Viewpoint,-122.390232,47.632049
Van Asselt Playground,-122.294068,47.539446
Victor Steinbrueck Park,-122.343869,47.610153
Victory Creek Park,-122.315554,47.709155
Victory Heights Playground,-122.307834,47.705672
View Ridge Playfield,-122.279969,47.679747
Viretta Park,-122.282003,47.61875
Virgil Flaim Park,-122.299374,47.717955
Volunteer Park,-122.315568,47.630378
Volunteer Park Conservatory,-122.315708,47.632063
Wallingford Playfield,-122.337444,47.658544
