,block_group,neighborhood,portion,weight
161,530330046001,9.4,0.076622475,1
162,530330046002,9.4,0.04528845,1
163,530330046003,9.4,0.043610998,1
164,530330047001,10.4,0.14358734,1
165,530330047002,10.4,0.585055267,1
166,530330047003,10.4,0.094592256,1
167,530330047004,10.4,0.176765137,1
168,530330048001,11.1,0.055236566,1
169,530330048002,11.1,0.054480933,1
170,530330048003,11.1,0.100660383,1
171,530330048004,11.1,0.099507853,1
172,530330049001,11.1,0.061227048,1
173,530330049002,11.1,0.256120001,1
174,530330049003,11.1,0.038603402,1
175,530330049004,11.1,0.033155258,1
176,530330049005,11.1,0.056276384,1
177,530330050001,11.2,0.127970647,1
178,530330050002,11.2,0.039641287,1
179,530330050003,11.2,0.110384307,1
180,530330051001,11.2,0.108200365,1
181,530330051002,11.2,0.047223114,1
182,530330051003,11.2,0.070889749,1
183,530330052001,11.2,0.011249307,1
184,530330052002,11.2,0.050034026,1
185,530330052003,11.2,0.164243716,1
186,530330052004,11.2,0.084494254,1
187,530330052005,11.2,0.028947544,1
188,530330053011,7.2,0.139901749,1
189,530330053012,7.2,0.057532514,1
190,530330053013,7.2,0.027150085,1
191,530330053014,7.2,0.010469097,1
192,530330053021,7.2,0.066045509,1
193,530330053022,7.2,0.067317978,1
194,530330053023,7.2,0.26741886,1
195,530330054001,11.1,0.027279259,1
196,530330054002,11.1,0.106984835,1
197,530330054003,11.1,0.065026066,1
198,530330054004,11.1,0.045442013,1
199,530330056001,12.1,0.043096732,1
200,530330056002,12.1,0.113994831,1
201,530330056003,12.1,0.118455117,1
202,530330056004,12.1,0.13120896,1
203,530330056005,12.1,0.094104912,1
204,530330057001,12.1,0.138040993,1
205,530330057002,12.1,0.136350997,1
206,530330057003,12.1,0.049274455,1
207,530330057004,12.1,0.052056191,1
208,530330057005,12.1,0.097906779,1
209,530330057006,12.1,0.025510033,1
210,530330058011,12.2,0.017850344,1
211,530330058012,12.2,0.055905922,1
212,530330058013,12.2,0.049480135,1
213,530330058014,12.2,0.202648625,1
214,530330058021,12.2,0.055306832,1
215,530330058022,12.2,0.339305429,1
216,530330058023,12.2,0.279502712,1
217,530330059001,12.3,0.035661133,1
218,530330059002,12.3,0.045030621,1
219,530330059003,12.3,0.037669188,1
220,530330059004,12.3,0.075322813,1
221,530330059005,12.3,0.0293807,1
222,530330060001,12.3,0.018386861,1
223,530330060002,12.3,0.051585734,1
224,530330060003,12.3,0.02075412,1
225,530330060004,12.3,0.017415734,1
226,530330061001,7.1,0.139245443,1
227,530330061002,7.1,0.145339396,1
228,530330061003,7.1,0.087116665,1
229,530330061004,7.1,0.078756027,1
230,530330062001,7.1,0.298481116,1
231,530330062002,7.1,0.175427371,1
232,530330062003,7.1,0.075633983,1
233,530330063001,6.5,0.130218562,1
234,530330063002,6.5,0.499250059,1
235,530330063003,6.5,0.221995463,1
236,530330063004,6.5,0.148535917,1
237,530330064001,6.4,0.188754339,1
238,530330064002,6.4,0.179449999,1
239,530330064003,6.4,0.159483664,1
240,530330065001,6.3,0.45078811,1
241,530330065002,6.3,0.29210156,1
242,530330065003,6.3,0.25711033,1
243,530330066001,11.3,0.123870319,1
244,530330066002,11.3,0.256042827,1
245,530330067001,12.3,0.037249579,1
246,530330067002,12.3,0.093233665,1
247,530330067003,12.3,0.017028099,1
248,530330067004,12.3,0.072751605,1
249,530330068001,12.3,0.057723933,1
250,530330068002,12.3,0.044350662,1
251,530330069001,12.3,0.04243468,1
252,530330069002,12.3,0.032881969,1
253,530330069003,12.3,0.029384476,1
254,530330069004,12.3,0.034216461,1
255,530330070001,12.3,0.063249592,1
256,530330070002,12.3,0.004763026,1
257,530330070003,12.3,0.032020944,1
258,530330070004,12.3,0.012799409,1
259,530330070005,12.3,0.022536807,1
260,530330070006,12.3,0.015398124,1
261,530330071001,12.3,0.029196861,1
262,530330071002,12.3,0.027573204,1
263,530330072001,11.3,0.252150308,1
264,530330072002,11.3,0.076194124,1
265,530330072003,11.3,0.028250238,1
266,530330073001,11.3,0.101453236,1
267,530330073002,11.3,0.058881925,1
268,530330073003,11.3,0.103157023,1
269,530330074011,6.2,0.044950293,1
270,530330074012,6.2,0.059826468,1
271,530330074013,6.2,0.049792993,1
272,530330074014,6.2,0.038175303,1
273,530330074021,6.2,0.059199798,1
274,530330074022,6.2,0.029328049,1
275,530330074023,6.2,0.106352544,1
276,530330075001,6.2,0.049835153,1
277,530330075002,6.2,0.056860745,1
278,530330075003,6.2,0.068079093,1
279,530330075004,6.2,0.12936768,1
280,530330075005,6.2,0.056126144,1
281,530330076001,6.4,0.123583733,1
282,530330076002,6.4,0.090698929,1
283,530330076003,6.4,0.258029338,1
284,530330077001,5.3,0.144628188,1
285,530330077002,5.3,0.064442876,1
286,530330077003,5.3,0.063633836,1
287,530330077004,5.3,0.059396881,1
288,530330078001,5.1,0.175144216,1
289,530330078002,5.1,0.166189726,1
290,530330078003,5.1,0.105745888,1
291,530330078004,5.1,0.115231478,1
292,530330079001,5.3,0.017680357,1
293,530330079002,5.3,0.06370631,1
294,530330079003,5.3,0.020140695,1
295,530330079004,5.3,0.034807347,1
296,530330079005,5.3,0.036199952,1
297,530330080011,13.1,0.55427883,1
298,530330080012,13.1,0.052130781,1
299,530330080013,13.1,0.166695509,1
300,530330080014,13.1,0.021575157,1
301,530330080015,13.1,0.01115477,1
302,530330080021,13.1,0.069898318,1
303,530330080022,13.1,0.124266635,1
304,530330081001,13.2,0.428080116,1
305,530330081002,13.2,0.328722443,1
306,530330081003,13.2,0.243197442,1
307,530330082001,6.1,0.196116284,1
308,530330082002,6.1,0.02803511,1
309,530330082003,6.1,0.058434925,1
310,530330083001,6.1,0.056639946,1
311,530330083002,6.1,0.11587139,1
312,530330084001,6.2,0.062986129,1
313,530330084002,6.2,0.079862389,1
314,530330084003,6.2,0.10925722,1
315,530330085001,6.1,0.132601949,1
316,530330085002,6.1,0.108043794,1
317,530330085003,6.1,0.019667607,1
318,530330086001,6.1,0.08161794,1
319,530330086002,6.1,0.103024287,1
320,530330086003,6.1,0.099946768,1
321,530330087001,5.3,0.080387383,1
322,530330087002,5.3,0.067383353,1
323,530330087003,5.3,0.060279402,1
324,530330088001,5.3,0.090214893,1
325,530330088002,5.3,0.112724578,1
326,530330088003,5.3,0.08437395,1
327,530330089001,5.1,0.106253938,1
328,530330089002,5.1,0.189719671,1
329,530330089003,5.1,0.085979557,1
330,530330089004,5.1,0.055735525,1
331,530330090001,5.2,0.454992921,1
332,530330090002,5.2,0.545007079,1
333,530330091001,13.3,0.19897016,1
334,530330091002,13.3,0.110780198,1
335,530330092001,13.3,0.307605853,1
336,530330092002,13.3,0.382643788,1
337,530330093001,3.3,0.168013021,1
338,530330093002,3.3,0.233824701,1
339,530330093003,3.3,0.598162278,1
340,530330094001,3.6,0.012886932,1
341,530330094002,3.6,0.179615035,1
342,530330094003,3.6,0.111184038,1
343,530330094004,3.6,0.021164435,1
344,530330094005,3.6,0.055624411,1
345,530330095001,4.4,0.314511841,1
346,530330095002,4.4,0.224889351,1
347,530330095003,4.4,0.316449403,1
348,530330095004,4.4,0.144149405,1
349,530330096001,1.4,0.065896669,1
350,530330096002,1.4,0.058501576,1
351,530330096003,1.4,0.09659547,1
352,530330096004,1.4,0.059681812,1
353,530330096005,1.4,0.099062483,1
354,530330097011,1.4,0.14663369,1
355,530330097012,1.4,0.045916964,1
356,530330097013,1.4,0.167229632,1
357,530330097014,1.4,0.260481704,1
358,530330097021,1.3,0.044881146,1
359,530330097022,1.3,0.064851894,1
360,530330097023,1.3,0.042417339,1
361,530330097024,1.3,0.042512342,1
362,530330097025,1.3,0.070997851,1
363,530330098001,1.3,0.078296355,1
364,530330098002,1.3,0.143934266,1
365,530330098003,1.3,0.177385422,1
366,530330098004,1.3,0.071298103,1
367,530330098005,1.3,0.040574579,1
368,530330099001,2.1,0.124902859,1
369,530330099002,2.1,0.231183579,1
370,530330099003,2.1,0.051599446,1
